base,districts,reason
Bad,Bad Kreuznach; Bad Dürkheim; Bad Tölz-Wolfratshausen; Bad Kissingen,ambiguous match
Baden,"Baden-Baden, Stadtkreis",no same-named ring
Berlin,"Berlin, Stadt",no same-named ring
Bielefeld,"Bielefeld, Stadt",no same-named ring
Bochum,"Bochum, Stadt",no same-named ring
Bonn,"Bonn, Stadt",no same-named ring
Bottrop,"Bottrop, Stadt",no same-named ring
Brandenburg,"Brandenburg an der Havel, Stadt",no same-named ring
Braunschweig,"Braunschweig, Stadt",no same-named ring
Bremen,"Bremen, Stadt",no same-named ring
Bremerhaven,"Bremerhaven, Stadt",no same-named ring
Chemnitz,"Chemnitz, Stadt",no same-named ring
Cottbus,"Cottbus, Stadt",no same-named ring
Delmenhorst,"Delmenhorst, Stadt",no same-named ring
Dessau,"Dessau-Roßlau, Stadt",no same-named ring
Dortmund,"Dortmund, Stadt",no same-named ring
Dresden,"Dresden, Stadt",no same-named ring
Duisburg,"Duisburg, Stadt",no same-named ring
Düsseldorf,"Düsseldorf, Stadt",no same-named ring
Emden,"Emden, Stadt",no same-named ring
Erfurt,"Erfurt, Stadt",no same-named ring
Essen,"Essen, Stadt",no same-named ring
Flensburg,"Flensburg, Stadt",no same-named ring
Frankenthal,"Frankenthal (Pfalz), kreisfreie Stadt",no same-named ring
Frankfurt,"Frankfurt am Main, Stadt; Frankfurt (Oder), Stadt",ambiguous match
Freiburg,"Freiburg im Breisgau, Stadtkreis",no same-named ring
Gelsenkirchen,"Gelsenkirchen, Stadt",no same-named ring
Gera,"Gera, Stadt",no same-named ring
Hagen,"Hagen, Stadt der FernUniversität",no same-named ring
Halle,"Halle (Saale), Stadt",no same-named ring
Hamburg,"Hamburg, Freie und Hansestadt",no same-named ring
Hamm,"Hamm, Stadt",no same-named ring
Heidelberg,"Heidelberg, Stadtkreis",no same-named ring
Herne,"Herne, Stadt",no same-named ring
Ingolstadt,Ingolstadt,no same-named ring
Jena,"Jena, Stadt",no same-named ring
Kaufbeuren,Kaufbeuren,no same-named ring
Kempten,Kempten (Allgäu),no same-named ring
Kiel,"Kiel, Landeshauptstadt",no same-named ring
Koblenz,"Koblenz, kreisfreie Stadt",no same-named ring
Krefeld,"Krefeld, Stadt",no same-named ring
Köln,"Köln, Stadt",no same-named ring
Landau,"Landau in der Pfalz, kreisfreie Stadt",no same-named ring
Leverkusen,"Leverkusen, Stadt",no same-named ring
Ludwigshafen,"Ludwigshafen am Rhein, kreisfreie Stadt",no same-named ring
Lübeck,"Lübeck, Hansestadt",no same-named ring
Magdeburg,"Magdeburg, Landeshauptstadt",no same-named ring
Main,Main-Kinzig-Kreis; Main-Taunus-Kreis; Main-Tauber-Kreis; Main-Spessart,ambiguous match
Mannheim,"Mannheim, Stadtkreis",no same-named ring
Memmingen,Memmingen,no same-named ring
Mönchengladbach,"Mönchengladbach, Stadt",no same-named ring
Mülheim,"Mülheim an der Ruhr, Stadt",no same-named ring
Münster,"Münster, Stadt",no same-named ring
Neumünster,"Neumünster, Stadt",no same-named ring
Neustadt,"Neustadt an der Weinstraße, kreisfreie Stadt; Neustadt a.d.Waldnaab; Neustadt a.d.Aisch-Bad Windsheim",ambiguous match
Nürnberg,Nürnberg,no same-named ring
Oberhausen,"Oberhausen, Stadt",no same-named ring
Pforzheim,"Pforzheim, Stadtkreis",no same-named ring
Pirmasens,"Pirmasens, kreisfreie Stadt",no same-named ring
Remscheid,"Remscheid, Stadt",no same-named ring
Rhein,Rhein-Kreis Neuss; Rhein-Erft-Kreis; Rhein-Sieg-Kreis; Rhein-Hunsrück-Kreis; Rhein-Lahn-Kreis; Rhein-Pfalz-Kreis; Rhein-Neckar-Kreis,ambiguous match
Rostock,Rostock,no same-named ring
Saale,Saale-Holzland-Kreis; Saale-Orla-Kreis,ambiguous match
Salzgitter,"Salzgitter, Stadt",no same-named ring
Schwabach,Schwabach,no same-named ring
Schwerin,Schwerin,no same-named ring
Solingen,"Solingen, Klingenstadt",no same-named ring
Speyer,"Speyer, kreisfreie Stadt",no same-named ring
Stuttgart,"Stuttgart, Stadtkreis",no same-named ring
Suhl,"Suhl, Stadt",no same-named ring
Ulm,"Ulm, Stadtkreis",no same-named ring
Vorpommern,Vorpommern-Rügen; Vorpommern-Greifswald,ambiguous match
Weiden,Weiden i.d.OPf.,no same-named ring
Weimar,"Weimar, Stadt",no same-named ring
Wiesbaden,"Wiesbaden, Landeshauptstadt",no same-named ring
Wilhelmshaven,"Wilhelmshaven, Stadt",no same-named ring
Wolfsburg,"Wolfsburg, Stadt",no same-named ring
Worms,"Worms, kreisfreie Stadt",no same-named ring
Wuppertal,"Wuppertal, Stadt",no same-named ring
Zweibrücken,"Zweibrücken, kreisfreie Stadt",no same-named ring
