base,city,ring,city_gap,ring_gap,diff
Landshut,"Landshut, Kreisfreie Stadt","Landshut, Landkreis",-7.534293225810851,-0.4546733794052349,-7.079619846405616
Trier,"Trier, kreisfreie Stadt",Trier-Saarburg,-7.891291872892903,-1.0662793343953705,-6.825012538497532
Ansbach,"Ansbach, Kreisfreie Stadt","Ansbach, Landkreis",-5.256232355615098,0.6051215931437648,-5.861353948758863
Bamberg,"Bamberg, Kreisfreie Stadt","Bamberg, Landkreis",-5.956858335595106,-0.2106507749909947,-5.746207560604112
Straubing,Straubing,Straubing-Bogen,-3.39812935489946,0.9365110759493644,-4.334640430848824
Karlsruhe,"Karlsruhe, Stadtkreis","Karlsruhe, Landkreis",-2.13164135102224,1.3509293396330335,-3.4825706906552734
Regensburg,"Regensburg, Kreisfreie Stadt","Regensburg, Landkreis",-4.698420578206852,-1.826145205338281,-2.872275372868571
Bayreuth,"Bayreuth, Kreisfreie Stadt","Bayreuth, Landkreis",-3.334982549509913,-0.7900524772341377,-2.544930072275775
Augsburg,"Augsburg, Kreisfreie Stadt","Augsburg, Landkreis",-0.6524333911026248,1.8337620528035004,-2.486195443906125
Passau,"Passau, Kreisfreie Stadt","Passau, Landkreis",-1.6968732837149392,-0.4754588489328082,-1.221414434782131
Amberg,Amberg,Amberg-Sulzbach,-0.7842301040111854,0.1882599540024676,-0.9724900580136531
Kassel,"Kassel, documenta-Stadt",Kassel,-3.5248371154217195,-2.884306735821329,-0.6405303796003907
Erlangen,Erlangen,Erlangen-Höchstadt,-0.2737096544859985,0.1617344931590603,-0.4354441476450588
Kaiserslautern,"Kaiserslautern, kreisfreie Stadt",Kaiserslautern,-0.3408977306808003,-0.2057011294690491,-0.13519660121175123
Heilbronn,"Heilbronn, Stadtkreis","Heilbronn, Landkreis",1.3515861981799882,1.3069884107113738,0.044597787468614314
München,"München, Landeshauptstadt","München, Landkreis",-0.3764925287658371,-0.5312820103117732,0.15478948154593614
Osnabrück,"Osnabrück, Stadt",Osnabrück,-0.2136144410623819,-0.5367515638963316,0.3231371228339497
Potsdam,"Potsdam, Stadt",Potsdam-Mittelmark,1.3707897567846403,0.909653408198885,0.46113634858575536
Schweinfurt,"Schweinfurt, Kreisfreie Stadt","Schweinfurt, Landkreis",-0.3444016022161489,-0.8306986010654382,0.48629699884928934
Darmstadt,"Darmstadt, Wissenschaftsstadt",Darmstadt-Dieburg,1.1815259135090406,0.677535891271952,0.5039900222370886
Offenbach,"Offenbach am Main, Stadt",Offenbach,-0.6148295977893792,-1.15425799507044,0.5394283972810607
Leipzig,"Leipzig, Stadt",Leipzig,0.9700832005664628,0.4071449877778965,0.5629382127885663
Coburg,"Coburg, Kreisfreie Stadt","Coburg, Landkreis",-1.8893650175301868,-3.0444856882658744,1.1551206707356876
Hof,"Hof, Kreisfreie Stadt","Hof, Landkreis",-0.4953627932351323,-2.0284596154048984,1.533096822169766
Fürth,"Fürth, Kreisfreie Stadt","Fürth, Landkreis",1.2677338770554991,-0.5617167148905811,1.8294505919460802
Rosenheim,"Rosenheim, Kreisfreie Stadt","Rosenheim, Landkreis",-0.4201350096772693,-2.7853671602954155,2.365232150618146
Oldenburg,"Oldenburg (Oldenburg), Stadt",Oldenburg,2.1777060156023653,-0.428604171441671,2.6063101870440364
Aschaffenburg,"Aschaffenburg, Kreisfreie Stadt","Aschaffenburg, Landkreis",0.971803611165889,-2.095866819747416,3.067670430913305
Mainz,"Mainz, kreisfreie Stadt",Mainz-Bingen,0.8271646734804072,-2.894753023645213,3.7219176971256203
Würzburg,"Würzburg, Kreisfreie Stadt","Würzburg, Landkreis",2.643550580768217,-1.508299343199715,4.151849923967932
